Name,ISIN,Distribution Type,Ticker,NAV,As Of,Bid,Price As Of,Share Class Currency,AUM (M),UCITS,Domicile,OCF (%),TER,Asset Class,Sub Asset Class,Region,Location,Share Class,Market,Strategy,Investment Style,Inception Date,Fund Name,Net Assets,Shares Outstanding,ISA Eligibility,Product Methodology,Issuing Company,Benchmark Index,Benchmark Level,SIPP Availability,UK Distributor / Reporting Status,Discrete,,,,,,,,,Annualised,,,,,,,,,,Cumulative,,,,,,,,,,Calendar,,,,,,,,,Portfolio Characteristics,,,,,Characteristics,,,,,,Sustainability Characteristics (MSCI),,,
iShares Continental European Equity Index Fund (UK) H Inc,GB00BYTHMZ80,Distributing,-,1.39,23/Oct/2020,1.39,23/Oct/2020,GBP,"3,754.50",Y,United Kingdom,0.06,-,Equity,Large/Mid Cap,Europe,Broad,Class H,Developed,-,Index,02/Sep/2015,iShares Continental European Equity Index Fund (UK),"18,801,652.45","13,497,227.08",-,-,BlackRock Fund Managers Ltd,FTSE Custom World Europe ex UK Net Tax Mid Day,-,-,-,iShares Continental European Equity Index Fund (UK) H Inc,GB00BYTHMZ80,02/Sep/2015,18.57,24.37,1.75,6.09,0.64,30/Sep/2020,iShares Continental European Equity Index Fund (UK) H Inc,GB00BYTHMZ80,02/Sep/2015,0.64,3.33,2.80,9.89,-,9.31,30/Sep/2020,iShares Continental European Equity Index Fund (UK) H Inc,GB00BYTHMZ80,02/Sep/2015,-0.77,21.56,8.64,60.21,-,57.12,30/Sep/2020,iShares Continental European Equity Index Fund (UK) H Inc,GB00BYTHMZ80,02/Sep/2015,-,19.66,17.10,-10.03,20.90,31/Dec/2019,iShares Continental European Equity Index Fund (UK) H Inc,16.07,1.74,0.00,"63,472.09",2.24,0.00,-,0.00,-,-,AA,7.89,143.15,-
iShares Emerging Markets Equity Index Fund (UK) Class H Inc,GB00BYTHMT21,Distributing,-,1.65,23/Oct/2020,1.64,23/Oct/2020,GBP,"2,810.52",Y,United Kingdom,0.19,-,Equity,All Cap,Global,Broad,Class H,Emerging,-,Index,02/Sep/2015,iShares Emerging Markets Equity Index Fund (UK),"6,596,176.12","4,007,038.32",-,-,BlackRock Fund Managers Ltd,FTSE Custom Emerging Net Midday Index,-,-,-,iShares Emerging Markets Equity Index Fund (UK) Class H Inc,GB00BYTHMT21,02/Sep/2015,36.91,16.21,1.31,6.79,3.99,30/Sep/2020,iShares Emerging Markets Equity Index Fund (UK) Class H Inc,GB00BYTHMT21,02/Sep/2015,3.99,5.38,4.00,12.35,-,11.98,30/Sep/2020,iShares Emerging Markets Equity Index Fund (UK) Class H Inc,GB00BYTHMT21,02/Sep/2015,-0.07,23.87,12.50,78.99,-,77.60,30/Sep/2020,iShares Emerging Markets Equity Index Fund (UK) Class H Inc,GB00BYTHMT21,02/Sep/2015,-,36.34,20.51,-8.25,15.70,31/Dec/2019,iShares Emerging Markets Equity Index Fund (UK) Class H Inc,15.06,1.80,0.00,"135,203.61",1.66,0.00,-,0.00,-,-,BBB,4.72,301.67,-
iShares US Equity Index Fund (UK) Class H Inc,GB00BYTHN335,Distributing,-,2.12,23/Oct/2020,2.11,23/Oct/2020,GBP,"1,935.84",Y,United Kingdom,0.05,-,Equity,Large/Mid Cap,North America,United States,Class H,Developed,-,Index,02/Sep/2015,iShares US Equity Index Fund (UK),"9,617,003.18","4,545,148.90",-,-,BlackRock Fund Managers Ltd,FTSE Custom USA Net of Tax Mid Day,-,-,-,iShares US Equity Index Fund (UK) Class H Inc,GB00BYTHN335,02/Sep/2015,34.47,15.16,20.89,9.34,11.29,30/Sep/2020,iShares US Equity Index Fund (UK) Class H Inc,GB00BYTHN335,02/Sep/2015,11.29,10.31,13.73,17.90,-,17.31,30/Sep/2020,iShares US Equity Index Fund (UK) Class H Inc,GB00BYTHN335,02/Sep/2015,9.33,24.94,47.11,127.81,-,124.96,30/Sep/2020,iShares US Equity Index Fund (UK) Class H Inc,GB00BYTHN335,02/Sep/2015,-,33.61,10.83,-0.22,26.70,31/Dec/2019,iShares US Equity Index Fund (UK) Class H Inc,22.68,3.65,0.00,"331,736.11",1.66,0.00,-,0.00,-,-,A,6.43,164.63,-
iShares Edge MSCI USA Multifactor UCITS ETF,IE00BZ0PKS76,Accumulating,IFSU,8.03,23/Oct/2020,-,23/Oct/2020,USD,86.10,Y,Ireland,-,0.35,Equity,Large/Mid Cap,North America,United States,- ,Developed,Smart Beta,Index,04/Sep/2015,iShares Edge MSCI USA Multifactor UCITS ETF,"84,737,229.96","10,547,562.00",Yes,Optimised,iShares IV plc,MSCI USA Diversified Multiple-Factor Index,"1,584.63",Yes,No/Yes,iShares Edge MSCI USA Multifactor UCITS ETF,IE00BZ0PKS76,04/Sep/2015,10.44,20.38,13.64,-2.31,5.54,30/Sep/2020,iShares Edge MSCI USA Multifactor UCITS ETF,IE00BZ0PKS76,04/Sep/2015,5.54,1.54,5.42,9.27,-,9.10,30/Sep/2020,iShares Edge MSCI USA Multifactor UCITS ETF,IE00BZ0PKS76,04/Sep/2015,-2.63,26.25,17.16,55.77,-,55.55,30/Sep/2020,iShares Edge MSCI USA Multifactor UCITS ETF,IE00BZ0PKS76,04/Sep/2015,-,12.87,20.79,-10.18,25.71,31/Dec/2019,iShares Edge MSCI USA Multifactor UCITS ETF,17.85,3.00,0.00,"197,825.73",-,0.00,0.04,0.00,0.00,-,A,6.81,163.46,-
iShares MSCI Saudi Arabia Capped UCITS ETF USD (Acc),IE00BYYR0489,Accumulating,IKSA,4.38,23/Oct/2020,-,23/Oct/2020,USD,216.78,Y,Ireland,-,0.60,Equity,Large/Mid Cap,Global,Broad,- ,Frontier,-,Index,10/Apr/2019,iShares MSCI Saudi Arabia Capped UCITS ETF,"212,706,264.89","48,553,519.00",Yes,Replicated,iShares III plc,MSCI Saudi Arabia 20/35 Index,-,Yes,No/Seeking,iShares MSCI Saudi Arabia Capped UCITS ETF USD (Acc),IE00BYYR0489,10/Apr/2019,-,-,-,-,-3.49,30/Sep/2020,iShares MSCI Saudi Arabia Capped UCITS ETF USD (Acc),IE00BYYR0489,10/Apr/2019,-3.49,-,-,-,-,-11.43,30/Sep/2020,iShares MSCI Saudi Arabia Capped UCITS ETF USD (Acc),IE00BYYR0489,10/Apr/2019,-5.96,23.97,-,-,-,-16.34,30/Sep/2020,iShares MSCI Saudi Arabia Capped UCITS ETF USD (Acc),IE00BYYR0489,10/Apr/2019,-,-,-,-,-,-,iShares MSCI Saudi Arabia Capped UCITS ETF USD (Acc),18.75,2.01,0.00,"237,146.91",-,0.00,0.02,0.00,0.00,-,B,2.31,594.14,-
iShares S&P 500 Energy Sector UCITS ETF USD (Acc),IE00B42NKQ00,Accumulating,IUES,2.64,23/Oct/2020,-,23/Oct/2020,USD,157.60,Y,Ireland,-,0.15,Equity,Large Cap,North America,United States,- ,Developed,Sectors,Index,20/Nov/2015,iShares S&P 500 Energy Sector UCITS ETF,"157,596,319.30","59,750,000.00",Yes,Replicated,iShares V plc,S&P 500 Capped 35/20 Energy Index,161.89,Yes,No/Yes,iShares S&P 500 Energy Sector UCITS ETF USD (Acc),IE00B42NKQ00,20/Nov/2015,-,-0.47,13.31,-19.70,-45.67,30/Sep/2020,iShares S&P 500 Energy Sector UCITS ETF USD (Acc),IE00B42NKQ00,20/Nov/2015,-45.67,-33.95,-20.93,-,-,-12.32,30/Sep/2020,iShares S&P 500 Energy Sector UCITS ETF USD (Acc),IE00B42NKQ00,20/Nov/2015,-48.45,4.88,-50.57,-,-,-47.23,30/Sep/2020,iShares S&P 500 Energy Sector UCITS ETF USD (Acc),IE00B42NKQ00,20/Nov/2015,-,26.59,-1.61,-18.54,11.19,31/Dec/2019,iShares S&P 500 Energy Sector UCITS ETF USD (Acc),11.24,0.80,0.00,"72,371.86",-,0.00,0.01,0.00,0.00,-,BBB,4.95,453.56,-
iShares S&P 500 Health Care Sector UCITS ETF USD (Acc),IE00B43HR379,Accumulating,IUHC,8.06,23/Oct/2020,-,23/Oct/2020,USD,"1,624.56",Y,Ireland,-,0.15,Equity,Large Cap,North America,United States,- ,Developed,Sectors,Index,20/Nov/2015,iShares S&P 500 Health Care Sector UCITS ETF,"1,528,578,916.95","189,616,514.00",Yes,Replicated,iShares V plc,S&P 500 Capped 35/20 Health Care Index,503.67,Yes,No/Yes,iShares S&P 500 Health Care Sector UCITS ETF USD (Acc),IE00B43HR379,20/Nov/2015,-,15.02,17.87,-3.93,19.61,30/Sep/2020,iShares S&P 500 Health Care Sector UCITS ETF USD (Acc),IE00B43HR379,20/Nov/2015,19.61,7.20,10.64,-,-,10.22,30/Sep/2020,iShares S&P 500 Health Care Sector UCITS ETF USD (Acc),IE00B43HR379,20/Nov/2015,4.69,20.00,35.45,-,-,60.53,30/Sep/2020,iShares S&P 500 Health Care Sector UCITS ETF USD (Acc),IE00B43HR379,20/Nov/2015,-,-3.07,21.58,6.05,20.35,31/Dec/2019,iShares S&P 500 Health Care Sector UCITS ETF USD (Acc),24.70,4.54,0.00,"148,307.81",-,0.00,0.04,0.00,0.00,-,A,6.65,18.89,-
iShares S&P 500 Information Technology Sector UCITS ETF USD (Acc),IE00B3WJKG14,Accumulating,IUIT,14.83,23/Oct/2020,-,23/Oct/2020,USD,"2,010.08",Y,Ireland,-,0.15,Equity,Large Cap,North America,United States,- ,Developed,Sectors,Index,20/Nov/2015,iShares S&P 500 Information Technology Sector UCITS ETF,"2,010,077,768.69","135,500,000.00",Yes,Replicated,iShares V plc,S&P 500 Capped 35/20 Information Technology Index,313.50,Yes,No/Yes,iShares S&P 500 Information Technology Sector UCITS ETF USD (Acc),IE00B3WJKG14,20/Nov/2015,-,28.37,31.05,8.19,45.81,30/Sep/2020,iShares S&P 500 Information Technology Sector UCITS ETF USD (Acc),IE00B3WJKG14,20/Nov/2015,45.81,25.60,27.39,-,-,24.59,30/Sep/2020,iShares S&P 500 Information Technology Sector UCITS ETF USD (Acc),IE00B3WJKG14,20/Nov/2015,27.57,45.02,106.73,-,-,191.30,30/Sep/2020,iShares S&P 500 Information Technology Sector UCITS ETF USD (Acc),IE00B3WJKG14,20/Nov/2015,-,13.37,38.31,-0.64,49.74,31/Dec/2019,iShares S&P 500 Information Technology Sector UCITS ETF USD (Acc),34.66,9.17,0.00,"872,266.85",-,0.00,0.02,0.00,0.00,-,AA,7.60,19.49,-
iShares S&P 500 Financials Sector UCITS ETF USD (Acc),IE00B4JNQZ49,Accumulating,IUFS,6.88,23/Oct/2020,-,23/Oct/2020,USD,455.73,Y,Ireland,-,0.15,Equity,Large Cap,North America,United States,- ,Developed,Sectors,Index,20/Nov/2015,iShares S&P 500 Financials Sector UCITS ETF,"455,727,378.50","66,250,000.00",Yes,Replicated,iShares V plc,S&P 500 Capped 35/20 Financials Index,185.79,Yes,No/Yes,iShares S&P 500 Financials Sector UCITS ETF USD (Acc),IE00B4JNQZ49,20/Nov/2015,-,35.62,8.27,3.42,-12.32,30/Sep/2020,iShares S&P 500 Financials Sector UCITS ETF USD (Acc),IE00B4JNQZ49,20/Nov/2015,-12.32,-4.78,-0.61,-,-,5.70,30/Sep/2020,iShares S&P 500 Financials Sector UCITS ETF USD (Acc),IE00B4JNQZ49,20/Nov/2015,-20.53,16.88,-1.82,-,-,30.96,30/Sep/2020,iShares S&P 500 Financials Sector UCITS ETF USD (Acc),IE00B4JNQZ49,20/Nov/2015,-,22.16,21.67,-13.40,31.47,31/Dec/2019,iShares S&P 500 Financials Sector UCITS ETF USD (Acc),9.59,1.23,0.00,"160,080.40",-,0.00,0.02,0.00,0.00,-,BBB,5.06,41.69,-
iShares S&P 500 Consumer Discretionary Sector UCITS ETF USD (Acc),IE00B4MCHD36,Accumulating,IUCD,10.29,23/Oct/2020,-,23/Oct/2020,USD,172.43,Y,Ireland,-,0.15,Equity,Large Cap,North America,United States,- ,Developed,Sectors,Index,20/Nov/2015,iShares S&P 500 Consumer Discretionary Sector UCITS ETF,"172,427,782.62","16,750,000.00",Yes,Replicated,iShares V plc,S&P 500 Capped 35/20 Consumer Discretionary Index,525.44,Yes,No/Yes,iShares S&P 500 Consumer Discretionary Sector UCITS ETF USD (Acc),IE00B4MCHD36,20/Nov/2015,-,14.05,32.02,1.98,27.79,30/Sep/2020,iShares S&P 500 Consumer Discretionary Sector UCITS ETF USD (Acc),IE00B4MCHD36,20/Nov/2015,27.79,14.16,19.83,-,-,15.11,30/Sep/2020,iShares S&P 500 Consumer Discretionary Sector UCITS ETF USD (Acc),IE00B4MCHD36,20/Nov/2015,22.43,52.18,72.06,-,-,98.27,30/Sep/2020,iShares S&P 500 Consumer Discretionary Sector UCITS ETF USD (Acc),IE00B4MCHD36,20/Nov/2015,-,5.55,22.49,0.49,27.43,31/Dec/2019,iShares S&P 500 Consumer Discretionary Sector UCITS ETF USD (Acc),31.02,6.27,0.00,"589,364.89",-,0.00,0.38,0.00,0.00,-,AA,7.37,40.93,-
iShares € Corp Bond 0-3yr ESG UCITS ETF,IE00BYZTVV78,Distributing,SUSS,5.01,23/Oct/2020,-,23/Oct/2020,EUR,810.96,Y,Ireland,-,0.15,Fixed Income,Credit,Europe,Broad,- ,Developed,Sustainable,Index,07/Jan/2016,iShares € Corp Bond 0-3yr ESG UCITS ETF,"810,958,061.71","161,734,862.00",Yes,Sampled,iShares II plc,Bloomberg Barclays MSCI Euro Corp 0-3 Sustainable SRI Index,135.73,Yes,No/Yes,iShares € Corp Bond 0-3yr ESG UCITS ETF,IE00BYZTVV78,07/Jan/2016,-,0.10,-0.27,0.50,-0.03,30/Sep/2020,iShares € Corp Bond 0-3yr ESG UCITS ETF,IE00BYZTVV78,07/Jan/2016,-0.03,0.24,0.07,-,-,0.21,30/Sep/2020,iShares € Corp Bond 0-3yr ESG UCITS ETF,IE00BYZTVV78,07/Jan/2016,0.03,2.32,0.20,-,-,1.00,30/Sep/2020,iShares € Corp Bond 0-3yr ESG UCITS ETF,IE00BYZTVV78,07/Jan/2016,-,-,0.05,-0.53,0.76,31/Dec/2019,iShares € Corp Bond 0-3yr ESG UCITS ETF,8.78,0.65,1.57,0.00,0.23,1.63,1.75,1.57,0.14,-,AA,8.00,102.59,ESG Broad
iShares TA-35 Israel UCITS ETF USD (Acc),IE00BP3QZG05,Accumulating,TASE,5.29,23/Oct/2020,-,23/Oct/2020,USD,21.15,Y,Ireland,-,0.60,Equity,All Cap,Europe,Israel,- ,Developed,-,Index,18/Jan/2016,iShares TA-35 Israel UCITS ETF,"21,153,423.21","4,000,000.00",Yes,Replicated,iShares IV plc,TA-35 Index,"2,480.53",Yes,No/Yes,iShares TA-35 Israel UCITS ETF USD (Acc),IE00BP3QZG05,18/Jan/2016,-,3.77,11.54,2.22,-18.33,30/Sep/2020,iShares TA-35 Israel UCITS ETF USD (Acc),IE00BP3QZG05,18/Jan/2016,-18.33,-8.63,-2.35,-,-,0.06,30/Sep/2020,iShares TA-35 Israel UCITS ETF USD (Acc),IE00BP3QZG05,18/Jan/2016,-21.96,1.44,-6.89,-,-,0.28,30/Sep/2020,iShares TA-35 Israel UCITS ETF USD (Acc),IE00BP3QZG05,18/Jan/2016,-,-,13.15,-10.70,23.57,31/Dec/2019,iShares TA-35 Israel UCITS ETF USD (Acc),13.03,1.17,0.00,"5,384.65",-,0.00,0.00,0.00,0.00,-,BB,4.06,64.07,-
iShares Em Mkts Gov Bond Index I7 USD,LU1333800438,Distributing,-,105.40,22/Oct/2020,-,22/Oct/2020,USD,"3,552.45",Y,Luxembourg,0.24,-,Fixed Income,Government,Global,Broad,Class I7,Emerging,-,Index,16/Dec/2015,iShares Emerging Markets Government Bond Index Fund (LU),-,"454,250.92",-,-,BlackRock (Luxembourg) S.A.,JP Morgan EMBI Global Diversified Index,-,-,-,iShares Em Mkts Gov Bond Index I7 USD,LU1333800438,16/Dec/2015,-,4.44,-1.84,11.38,1.13,30/Sep/2020,iShares Em Mkts Gov Bond Index I7 USD,LU1333800438,16/Dec/2015,1.13,6.13,3.40,-,-,6.08,30/Sep/2020,iShares Em Mkts Gov Bond Index I7 USD,LU1333800438,16/Dec/2015,-0.66,11.71,10.56,-,-,32.64,30/Sep/2020,iShares Em Mkts Gov Bond Index I7 USD,LU1333800438,16/Dec/2015,-,9.96,10.01,-4.18,14.84,31/Dec/2019,iShares Em Mkts Gov Bond Index I7 USD,4.88,0.55,7.93,0.00,5.14,12.48,-,7.93,-,-,BB,3.21,1.00,-
iShares Em Mkts Gov Bond Index Hg A2 EUR,LU1373035580,Accumulating,-,131.85,22/Oct/2020,-,22/Oct/2020,EUR,"3,556.06",Y,Luxembourg,0.52,-,Fixed Income,Government,Global,Broad,Class A2 Hedged,Emerging,-,Index,13/Apr/2016,iShares Emerging Markets Government Bond Index Fund (LU),-,"347,705.88",-,-,BlackRock (Luxembourg) S.A.,JP Morgan EMBI Global Diversified Index,-,-,-,iShares Em Mkts Gov Bond Index Hg A2 EUR,LU1373035580,13/Apr/2016,-,2.07,-4.69,7.65,-1.57,30/Sep/2020,iShares Em Mkts Gov Bond Index Hg A2 EUR,LU1373035580,13/Apr/2016,-1.57,2.94,0.33,-,-,2.30,30/Sep/2020,iShares Em Mkts Gov Bond Index Hg A2 EUR,LU1373035580,13/Apr/2016,-2.56,10.78,0.99,-,-,10.70,30/Sep/2020,iShares Em Mkts Gov Bond Index Hg A2 EUR,LU1373035580,13/Apr/2016,-,-,7.40,-7.16,11.16,31/Dec/2019,iShares Em Mkts Gov Bond Index Hg A2 EUR,4.88,0.55,7.93,0.00,5.46,12.48,-,7.93,-,-,BB,3.21,1.00,-
iShares Em Mkts Gov Bond Index Hg I2 EUR,LU1373035663,Accumulating,-,133.64,22/Oct/2020,-,22/Oct/2020,EUR,"3,556.06",Y,Luxembourg,0.24,-,Fixed Income,Government,Global,Broad,Class I2 Hedged,Emerging,-,Index,13/Apr/2016,iShares Emerging Markets Government Bond Index Fund (LU),-,"10,053,952.86",-,-,BlackRock (Luxembourg) S.A.,JP Morgan EMBI Global Diversified Index,-,-,-,iShares Em Mkts Gov Bond Index Hg I2 EUR,LU1373035663,13/Apr/2016,-,2.31,-4.41,7.94,-1.15,30/Sep/2020,iShares Em Mkts Gov Bond Index Hg I2 EUR,LU1373035663,13/Apr/2016,-1.15,3.30,0.66,-,-,2.61,30/Sep/2020,iShares Em Mkts Gov Bond Index Hg I2 EUR,LU1373035663,13/Apr/2016,-2.21,10.95,2.00,-,-,12.19,30/Sep/2020,iShares Em Mkts Gov Bond Index Hg I2 EUR,LU1373035663,13/Apr/2016,-,-,7.63,-6.89,11.47,31/Dec/2019,iShares Em Mkts Gov Bond Index Hg I2 EUR,4.88,0.55,7.93,0.00,5.46,12.48,-,7.93,-,-,BB,3.21,1.00,-
iShares World Equity Index Fund (LU) Class F2 GBP,LU1396764083,Accumulating,-,163.92,23/Oct/2020,-,23/Oct/2020,GBP,"1,491.07",Y,Luxembourg,0.23,-,Equity,Large Cap,Global,Broad,Class F2,Developed,-,Index,20/Apr/2016,iShares World Equity Index Fund (LU),-,-,-,-,BlackRock (Luxembourg) S.A.,MSCI WORLD Net ( custom 4pm LUX ),-,-,-,iShares World Equity Index Fund (LU) Class F2 GBP,LU1396764083,20/Apr/2016,-,14.79,14.37,7.38,5.82,30/Sep/2020,iShares World Equity Index Fund (LU) Class F2 GBP,LU1396764083,20/Apr/2016,5.82,6.60,9.13,-,-,12.60,30/Sep/2020,iShares World Equity Index Fund (LU) Class F2 GBP,LU1396764083,20/Apr/2016,4.72,23.91,29.95,-,-,69.45,30/Sep/2020,iShares World Equity Index Fund (LU) Class F2 GBP,LU1396764083,20/Apr/2016,-,-,12.14,-4.14,23.38,31/Dec/2019,iShares World Equity Index Fund (LU) Class F2 GBP,20.02,2.50,0.00,"306,760.68",1.66,0.00,-,0.00,-,-,A,6.72,160.05,-
iShares Euro Government Bond Index Fund (IE) Inst Dist EUR,IE00B1N7ZB00,Distributing,-,10.21,22/Oct/2020,10.21,22/Oct/2020,EUR,"2,842.45",Y,Ireland,0.13,-,Fixed Income,Government,Europe,Broad,Inst,Developed,-,Index,13/May/2016,iShares Euro Government Bond Index Fund (IE),"10,437,366.04","1,022,061.96",-,-,BlackRock Asset Management Ireland Limited,FTSE EMU Government Bond Index,-,-,-,iShares Euro Government Bond Index Fund (IE) Inst Dist EUR,IE00B1N7ZB00,13/May/2016,-,-3.48,-0.05,11.61,0.54,30/Sep/2020,iShares Euro Government Bond Index Fund (IE) Inst Dist EUR,IE00B1N7ZB00,13/May/2016,0.54,5.93,3.90,-,-,2.45,30/Sep/2020,iShares Euro Government Bond Index Fund (IE) Inst Dist EUR,IE00B1N7ZB00,13/May/2016,3.67,3.28,12.15,-,-,11.20,30/Sep/2020,iShares Euro Government Bond Index Fund (IE) Inst Dist EUR,IE00B1N7ZB00,13/May/2016,-,-,-0.04,0.89,6.64,31/Dec/2019,iShares Euro Government Bond Index Fund (IE) Inst Dist EUR,0.00,0.00,8.71,0.00,-,10.36,-,8.71,-,-,A,5.96,-,-
iShares MSCI USA SRI UCITS ETF USD (Acc),IE00BYVJRR92,Accumulating,SUAS,9.92,23/Oct/2020,-,23/Oct/2020,USD,"4,227.82",Y,Ireland,-,0.20,Equity,Large/Mid Cap,North America,United States,- ,Developed,Sustainable,Index,11/Jul/2016,iShares MSCI USA SRI UCITS ETF,"3,908,349,391.12","393,964,142.00",Yes,Replicated,iShares IV plc,MSCI USA SRI Select Reduced Fossil Fuel Index,"3,280.17",Yes,No/Yes,iShares MSCI USA SRI UCITS ETF USD (Acc),IE00BYVJRR92,11/Jul/2016,-,17.22,20.72,6.90,22.83,30/Sep/2020,iShares MSCI USA SRI UCITS ETF USD (Acc),IE00BYVJRR92,11/Jul/2016,22.83,14.59,16.60,-,-,16.81,30/Sep/2020,iShares MSCI USA SRI UCITS ETF USD (Acc),IE00BYVJRR92,11/Jul/2016,13.27,36.77,58.51,-,-,92.62,30/Sep/2020,iShares MSCI USA SRI UCITS ETF USD (Acc),IE00BYVJRR92,11/Jul/2016,-,-,23.38,-1.95,31.89,31/Dec/2019,iShares MSCI USA SRI UCITS ETF USD (Acc),24.16,4.42,0.00,"202,144.46",-,0.00,0.02,0.00,0.00,-,AA,8.38,54.58,ESG Broad
iShares MSCI Japan SRI EUR Hedged UCITS ETF (Acc),IE00BYVJRQ85,Accumulating,SUJS,6.32,23/Oct/2020,-,23/Oct/2020,EUR,90.09,Y,Ireland,-,0.25,Equity,Large/Mid Cap,Asia Pacific,Japan,- ,Developed,"Currency Hedged, Sustainable",Index,29/Apr/2016,iShares MSCI Japan SRI EUR Hedged UCITS ETF (Acc),"90,086,759.08","14,250,000.00",Yes,Replicated,iShares IV plc,MSCI Japan SRI 100% Hedged to EUR Index,"1,993.42",Yes,No/Yes,iShares MSCI Japan SRI EUR Hedged UCITS ETF (Acc),IE00BYVJRQ85,29/Apr/2016,-,22.09,12.35,-12.08,9.43,30/Sep/2020,iShares MSCI Japan SRI EUR Hedged UCITS ETF (Acc),IE00BYVJRQ85,29/Apr/2016,9.43,-1.91,2.63,-,-,6.04,30/Sep/2020,iShares MSCI Japan SRI EUR Hedged UCITS ETF (Acc),IE00BYVJRQ85,29/Apr/2016,-1.59,13.48,8.09,-,-,29.60,30/Sep/2020,iShares MSCI Japan SRI EUR Hedged UCITS ETF (Acc),IE00BYVJRQ85,29/Apr/2016,-,-,17.94,-17.04,21.88,31/Dec/2019,iShares MSCI Japan SRI EUR Hedged UCITS ETF (Acc),18.11,1.64,0.00,"33,931.97",-,0.00,0.00,0.00,0.00,-,AAA,9.56,53.24,ESG Broad
iShares US Mortgage Backed Securities UCITS ETF USD (Dist),IE00BZ6V7883,Distributing,IMBS,4.98,23/Oct/2020,-,23/Oct/2020,USD,"2,496.70",Y,Ireland,-,0.28,Fixed Income,Mortgages,North America,Broad,- ,Developed,-,Index,23/May/2016,iShares US Mortgage Backed Securities UCITS ETF,"1,074,685,398.04","215,609,769.00",Yes,Sampled,iShares IV plc,Bloomberg Barclays US Mortgage Backed Securities Index,"2,315.47",Yes,Yes,iShares US Mortgage Backed Securities UCITS ETF USD (Dist),IE00BZ6V7883,23/May/2016,-,-0.05,-1.40,7.54,4.15,30/Sep/2020,iShares US Mortgage Backed Securities UCITS ETF USD (Dist),IE00BZ6V7883,23/May/2016,4.15,5.83,3.36,-,-,2.70,30/Sep/2020,iShares US Mortgage Backed Securities UCITS ETF USD (Dist),IE00BZ6V7883,23/May/2016,3.54,0.86,10.43,-,-,12.29,30/Sep/2020,iShares US Mortgage Backed Securities UCITS ETF USD (Dist),IE00BZ6V7883,23/May/2016,-,-,2.20,0.58,6.06,31/Dec/2019,iShares US Mortgage Backed Securities UCITS ETF USD (Dist),17.09,0.85,2.43,0.00,2.78,3.57,3.37,2.22,1.20,-,-,-,-,-
iShares Em Mkts Gov Bond Index Hg I2 GBP,LU1400680390,Accumulating,-,115.98,23/Oct/2020,-,23/Oct/2020,GBP,"3,556.06",Y,Luxembourg,0.24,-,Fixed Income,Government,Global,Broad,Class I2 Hedged,Emerging,-,Index,11/May/2016,iShares Emerging Markets Government Bond Index Fund (LU),-,-,-,-,BlackRock (Luxembourg) S.A.,JP Morgan EMBI Global Diversified Index,-,-,-,iShares Em Mkts Gov Bond Index Hg I2 GBP,LU1400680390,11/May/2016,-,3.20,-3.61,9.22,-0.98,30/Sep/2020,iShares Em Mkts Gov Bond Index Hg I2 GBP,LU1400680390,11/May/2016,-0.98,4.00,1.40,-,-,3.29,30/Sep/2020,iShares Em Mkts Gov Bond Index Hg I2 GBP,LU1400680390,11/May/2016,-2.35,11.28,4.25,-,-,15.27,30/Sep/2020,iShares Em Mkts Gov Bond Index Hg I2 GBP,LU1400680390,11/May/2016,-,-,8.57,-6.00,12.72,31/Dec/2019,iShares Em Mkts Gov Bond Index Hg I2 GBP,4.88,0.55,7.93,0.00,5.42,12.48,-,7.93,-,-,BB,3.21,1.00,-
iShares Fallen Angels High Yield Corp Bond UCITS ETF,IE00BYM31M36,Distributing,WING,5.84,23/Oct/2020,-,23/Oct/2020,USD,"1,330.18",Y,Ireland,-,0.50,Fixed Income,High Yield,Global,Broad,- ,Developed,-,Index,21/Jun/2016,iShares Fallen Angels High Yield Corp Bond UCITS ETF,"616,623,176.64","105,528,732.00",Yes,Sampled,iShares IV plc,Bloomberg Barclays Global Corporate ex EM Fallen Angels 3% Issuer Capped Index,405.71,Yes,No/Yes,iShares Fallen Angels High Yield Corp Bond UCITS ETF,IE00BYM31M36,21/Jun/2016,-,10.93,0.85,6.20,11.59,30/Sep/2020,iShares Fallen Angels High Yield Corp Bond UCITS ETF,IE00BYM31M36,21/Jun/2016,11.59,8.86,6.12,-,-,7.89,30/Sep/2020,iShares Fallen Angels High Yield Corp Bond UCITS ETF,IE00BYM31M36,21/Jun/2016,7.59,22.77,19.51,-,-,38.35,30/Sep/2020,iShares Fallen Angels High Yield Corp Bond UCITS ETF,IE00BYM31M36,21/Jun/2016,-,-,12.94,-5.12,15.32,31/Dec/2019,iShares Fallen Angels High Yield Corp Bond UCITS ETF,7.60,0.58,1.80,0.00,4.24,7.70,4.82,5.41,4.27,-,BB,3.94,422.50,-
