Ticker,Name der Anteilklasse,ISIN,Fondsvermögen,UCITS,Domizil,TER (%),Laufende Gebühren (%),Auflagedatum,Anlageklasse,Unteranlageklasse,Region,Währung der Anteilsklasse,Markt,Strategie,Standort,Anteils- klasse,Anteile im Umlauf,für ISA zugelassen,Produktmethodik,Emittent,Ertrags- verwendung,Referenzindex,NAV,Per,Benchmark-Wert,für SIPP verfügbar,UK-Distributor /Reporting-Status,Risk Indicator,Geldkurs,Per,Briefkurs,Per,AUM (Mio.),UCITS,Anlageansatz,Diskrete Rendite,,,,,,Annualisiert,,,,,,,Kumulativ,,,,,,,Merkmale,,,,,,Kalenderjahr,,,,,,Merkmale,,,,,,,Nachhaltigkeitsmerkmale (MSCI),,,
-,iShares Edge EM Fundamental Weighted Index Fund (IE) Inst Dist EUR,IE00B5W95P95,"11.851,18",Ja,Irland,-,"0,43",13.Jun.2014,Aktien,Alle Kapitalisierungen,Global,EUR,Schwellenländer,-,Weitere,Inst,"1.190,00",-,-,BlackRock Asset Management Ireland Limited,ausschüttend,FTSE RAFI Emerging Markets QSR Index - EUR Net,"9,96",17.Nov.2020,-,-,-,6.00,"9,93",17.Nov.2020,"9,98",17.Nov.2020,"321,56",Y,Index Fonds,30.Sep.2020,"25,23",-,-,-,"-16,60",30.Sep.2020,"-16,60",-,-,-,-,-,30.Sep.2020,"-23,12","7,25",-,-,-,-,-,"0,00",-,"0,00",-,-,"-13,37","33,06",-,-,-,31.Dec.2019,iShares Edge EM Fundamental Weighted Index Fund (IE) Inst Dist EUR,"8,85","0,98","0,00","0,00","0,00","103.410,41",BBB,"4,57","429,93",-
IFRE,iShares MSCI France UCITS ETF EUR (Acc),IE00BP3QZJ36,"41.490.183,90",Ja,Irland,"0,25",-,05.Sep.2014,Aktien,Large/Mid Caps,Europa,EUR,Industrieländer,-,Frankreich,- ,"1.100.000,00",Ja,Replikation,iShares IV plc,thesaurierend,MSCI France Index,"37,72",17.Nov.2020,"253,22",Ja,Nein/Ja,6.00,-,17.Nov.2020,-,17.Nov.2020,"41,49",Y,Index Fonds,30.Sep.2020,"3,78","24,98","6,80","5,68","-12,48",31.Oct.2020,"-17,14","-2,32","-2,77","2,32",-,"3,95",31.Oct.2020,"-20,40","2,67","-8,07","12,13",-,"26,89",-,"0,00","0,00","0,00","0,00","0,00","11,98","8,90","13,88","-7,72","28,93",31.Dec.2019,iShares MSCI France UCITS ETF EUR (Acc),"18,20","1,64","-0,01","0,00","0,00","72.992,44",AA,"7,31","137,41",-
IS3S,iShares Edge MSCI World Value Factor UCITS ETF USD (Acc),IE00BP3QZB59,"2.347.859.313,60",Ja,Irland,"0,30",-,03.Oct.2014,Aktien,Large/Mid Caps,Global,USD,Industrieländer,Faktor ETFs,Weitere,- ,"78.459.652,00",Ja,Optimierung,iShares IV plc,thesaurierend,MSCI World Enhanced Value index,"29,92",17.Nov.2020,"1.173,33",Ja,Nein/Ja,6.00,-,17.Nov.2020,-,17.Nov.2020,"2.367,93",Y,Index Fonds,30.Sep.2020,"7,54","20,20","7,12","-6,26","-11,04",31.Oct.2020,"-17,30","-6,81","-5,57","0,61",-,"0,63",31.Oct.2020,"-21,38","0,16","-15,81","3,10",-,"3,86",-,"0,00","0,01","0,00","0,01",-,"-3,27","8,14","22,16","-13,90","19,13",31.Dec.2019,iShares Edge MSCI World Value Factor UCITS ETF USD (Acc),"11,11","0,94","0,01","0,00","0,00","60.757,94",A,"5,85","150,57",-
IS3R,iShares Edge MSCI World Momentum Factor UCITS ETF USD (Acc),IE00BP3QZ825,"2.194.030.520,59",Ja,Irland,"0,30",-,03.Oct.2014,Aktien,Large/Mid Caps,Global,USD,Industrieländer,Faktor ETFs,Weitere,- ,"39.800.000,00",Ja,Optimierung,iShares IV plc,thesaurierend,MSCI World Momentum Index,"55,13",17.Nov.2020,"3.195,71",Ja,Nein/Ja,6.00,-,17.Nov.2020,-,17.Nov.2020,"2.194,03",Y,Index Fonds,30.Sep.2020,"12,68","22,09","22,45","1,37","23,19",31.Oct.2020,"17,37","15,60","12,15","13,67",-,"12,53",31.Oct.2020,"11,68","18,55","41,08","89,76",-,"104,63",-,"0,00","0,03","0,00","0,00",-,"3,83","4,05","31,91","-2,97","27,44",31.Dec.2019,iShares Edge MSCI World Momentum Factor UCITS ETF USD (Acc),"34,03","6,67","0,01","0,00","0,00","450.122,54",AA,"7,15","70,84",-
IS3Q,iShares Edge MSCI World Quality Factor UCITS ETF USD (Acc),IE00BP3QZ601,"1.528.564.163,76",Ja,Irland,"0,30",-,03.Oct.2014,Aktien,Large/Mid Caps,Global,USD,Industrieländer,Faktor ETFs,Weitere,- ,"33.600.000,00",Ja,Optimierung,iShares IV plc,thesaurierend,MSCI World Sector Neutral Quality Index,"45,49",17.Nov.2020,"1.821,88",Ja,Nein/Ja,6.00,-,17.Nov.2020,-,17.Nov.2020,"1.528,56",Y,Index Fonds,30.Sep.2020,"11,81","15,21","13,53","3,51","12,33",31.Oct.2020,"5,82","10,04","7,72","8,73",-,"8,38",31.Oct.2020,"-0,91","10,97","24,99","51,96",-,"62,93",-,"0,00","-0,07","0,00","0,00",-,"2,48","5,03","23,09","-7,31","30,53",31.Dec.2019,iShares Edge MSCI World Quality Factor UCITS ETF USD (Acc),"23,66","4,80","0,01","0,00","0,00","316.416,75",A,"6,98","127,60",-
IS3T,iShares Edge MSCI World Size Factor UCITS ETF USD (Acc),IE00BP3QZD73,"816.974.728,61",Ja,Irland,"0,30",-,03.Oct.2014,Aktien,Large/Mid Caps,Global,USD,Industrieländer,Faktor ETFs,Weitere,- ,"21.600.000,00",Ja,Optimierung,iShares IV plc,thesaurierend,MSCI World Mid-Cap Equally Weighted Index,"37,82",17.Nov.2020,"6.315,06",Ja,Nein/Ja,6.00,-,17.Nov.2020,-,17.Nov.2020,"816,97",Y,Index Fonds,30.Sep.2020,"13,34","17,11","7,39","-2,97","0,74",31.Oct.2020,"-3,84","2,76","0,57","5,03",-,"4,85",31.Oct.2020,"-8,31","13,64","1,73","27,79",-,"33,26",-,"0,00","0,01","0,00","0,00",-,"-0,08","8,25","23,99","-14,07","23,66",31.Dec.2019,iShares Edge MSCI World Size Factor UCITS ETF USD (Acc),"16,10","1,63","0,02","0,00","0,00","11.516,03",A,"5,96","221,42",-
-,iShares Developed World ESG Screened Index Fund (IE) Inst Acc EUR,IE00BFG1TM61,"390.041.178,52",Ja,Irland,-,"0,18",31.Oct.2014,Aktien,Alle Kapitalisierungen,Global,EUR,Industrieländer,Nachhaltige Strategien,Weitere,Inst,"22.085.836,53",-,-,BlackRock Asset Management Ireland Limited,thesaurierend,MSCI WORLD ESG SCREENED,"17,66",17.Nov.2020,-,-,-,6.00,"17,65",17.Nov.2020,"17,68",17.Nov.2020,"1.193,34",Y,Index Fonds,30.Sep.2020,"10,33","12,18","13,33","8,54","3,15",31.Oct.2020,"0,40","7,32","6,19","7,07",-,"8,32",31.Oct.2020,"-4,60","6,21","19,75","40,74",-,"61,57","1,64","0,00",-,"0,00",-,-,"9,76","10,50","7,39","-3,88","30,14",31.Dec.2019,iShares Developed World ESG Screened Index Fund (IE) Inst Acc EUR,"20,21","2,51","0,00","0,00","0,00","317.874,46",A,"6,78","154,52",ESG Screened
CEMT,iShares Edge MSCI Europe Size Factor UCITS ETF EUR (Acc),IE00BQN1KC32,"27.954.182,37",Ja,Irland,"0,25",-,16.Jan.2015,Aktien,Large/Mid Caps,Europa,EUR,Industrieländer,Faktor ETFs,Weitere,- ,"4.000.000,00",Ja,Optimierung,iShares IV plc,thesaurierend,MSCI Europe Mid-Cap Equal weighted Index,"6,99",17.Nov.2020,"3.341,33",Ja,Nein/Ja,6.00,-,17.Nov.2020,-,17.Nov.2020,"27,95",Y,Index Fonds,30.Sep.2020,"3,90","17,52","2,86","0,59","-5,04",31.Oct.2020,"-10,06","-0,50","-2,46","1,45",-,"3,33",31.Oct.2020,"-15,02","6,66","-7,21","7,45",-,"20,89",-,"0,00","0,00","0,00","0,00",-,-,"1,94","13,69","-13,16","27,05",31.Dec.2019,iShares Edge MSCI Europe Size Factor UCITS ETF EUR (Acc),"14,56","1,53","-0,03","0,00","0,00","9.317,44",AA,"7,53","150,37",-
CEMR,iShares Edge MSCI Europe Momentum Factor UCITS ETF EUR (Acc),IE00BQN1K786,"409.194.133,57",Ja,Irland,"0,25",-,16.Jan.2015,Aktien,Large/Mid Caps,Europa,EUR,Industrieländer,Faktor ETFs,Weitere,- ,"52.575.295,00",Ja,Optimierung,iShares IV plc,thesaurierend,MSCI Europe Momentum Index,"7,78",17.Nov.2020,"4.300,87",Ja,Nein/Ja,6.00,-,17.Nov.2020,-,17.Nov.2020,"411,83",Y,Index Fonds,30.Sep.2020,"6,00","14,69","5,13","4,13","9,64",31.Oct.2020,"5,10","8,98","3,96","5,86",-,"6,67",31.Oct.2020,"0,23","8,55","12,36","32,92",-,"45,29",-,"0,00","0,00","0,00","0,00",-,-,"2,67","10,90","-9,85","29,86",31.Dec.2019,iShares Edge MSCI Europe Momentum Factor UCITS ETF EUR (Acc),"29,09","4,07","-0,01","0,00","0,00","66.841,05",AA,"7,66","162,38",-
CEMQ,iShares Edge MSCI Europe Quality Factor UCITS ETF EUR (Acc),IE00BQN1K562,"127.828.292,15",Ja,Irland,"0,25",-,16.Jan.2015,Aktien,Large/Mid Caps,Europa,EUR,Industrieländer,Faktor ETFs,Weitere,- ,"17.362.025,00",Ja,Optimierung,iShares IV plc,thesaurierend,MSCI Europe Sector Neutral Quality Index,"7,36",17.Nov.2020,"1.562,84",Ja,Nein/Ja,6.00,-,17.Nov.2020,-,17.Nov.2020,"132,36",Y,Index Fonds,30.Sep.2020,"2,47","12,83","4,24","10,02","-0,61",31.Oct.2020,"-7,28","4,40","1,89","2,81",-,"4,64",31.Oct.2020,"-12,21","1,68","5,77","14,85",-,"30,05",-,"0,00","0,02","0,00","0,01",-,-,"-1,30","10,13","-6,59","30,80",31.Dec.2019,iShares Edge MSCI Europe Quality Factor UCITS ETF EUR (Acc),"20,17","3,31","0,01","0,00","0,00","78.480,85",AA,"8,22","97,54",-
CEMS,iShares Edge MSCI Europe Value Factor UCITS ETF EUR (Acc),IE00BQN1K901,"972.595.163,10",Ja,Irland,"0,25",-,16.Jan.2015,Aktien,Large/Mid Caps,Europa,EUR,Industrieländer,Faktor ETFs,Weitere,- ,"175.642.869,00",Ja,Optimierung,iShares IV plc,thesaurierend,MSCI Europe Enhanced Value Index,"5,54",17.Nov.2020,"1.084,21",Ja,Nein/Ja,6.00,-,17.Nov.2020,-,17.Nov.2020,"976,64",Y,Index Fonds,30.Sep.2020,"-0,26","20,03","-0,37","0,15","-15,96",31.Oct.2020,"-21,56","-8,69","-8,14","-2,66",-,"-1,52",31.Oct.2020,"-26,27","-2,41","-22,50","-12,60",-,"-8,48",-,"0,00","0,00","0,00","0,00",-,-,"5,83","9,71","-13,55","22,18",31.Dec.2019,iShares Edge MSCI Europe Value Factor UCITS ETF EUR (Acc),"11,95","0,95","-0,01","0,00","0,00","46.805,69",AA,"7,19","175,46",-
IS05,iShares € Govt Bond 20yr Target Duration UCITS ETF EUR (Dist),IE00BSKRJX20,"181.089.128,11",Ja,Irland,"0,15",-,20.Jan.2015,Anleihen,Staatsanleihen,Europa,EUR,Industrieländer,-,Weitere,- ,"27.465.821,00",Ja,Sampling,iShares IV plc,ausschüttend,Markit iBoxx EUR Eurozone 20yr Target Duration Index,"6,59",17.Nov.2020,"278,01",Ja,Nein/Ja,5.00,-,17.Nov.2020,-,17.Nov.2020,"181,09",Y,Index Fonds,30.Sep.2020,"20,68","-11,87","4,17","26,13","1,84",31.Oct.2020,"7,34","13,95","10,22","7,34",-,"5,89",31.Oct.2020,"12,17","4,41","33,89","42,52",-,"39,19","0,47","25,53","2,64","20,18","-0,01","2,34",-,"12,59","-1,75","4,72","14,32",31.Dec.2019,iShares € Govt Bond 20yr Target Duration UCITS ETF EUR (Dist),"10,58","1,47","-0,01","25,53","20,18","0,00",A,"6,53","4,22",-
IS04,iShares $ Treasury Bond 20+yr UCITS ETF USD (Dist),IE00BSKRJZ44,"938.759.383,08",Ja,Irland,"0,07",-,20.Jan.2015,Anleihen,Staatsanleihen,Nordamerika,USD,Industrieländer,-,Vereinigte Staaten von Amerika,- ,"157.801.915,00",Ja,Sampling,iShares IV plc,ausschüttend,ICE U.S. Treasury 20+ Year Bond Index,"5,95",17.Nov.2020,"147,82",Ja,Nein/Ja,5.00,-,17.Nov.2020,-,17.Nov.2020,"2.608,40",Y,Index Fonds,30.Sep.2020,"13,59","-6,78","-3,64","25,03","16,59",31.Oct.2020,"14,02","20,80","10,85","7,70",-,"5,28",31.Oct.2020,"17,99","-4,76","36,21","44,92",-,"34,64","2,03","25,63","2,77","18,95","1,51","3,05",-,"1,23","8,80","-2,14","14,97",31.Dec.2019,iShares $ Treasury Bond 20+yr UCITS ETF USD (Dist),"18,47","0,92","1,51","25,63","18,95","0,00",A,"6,58","12,35",-
CEM2,iShares US Equity Buyback Achievers UCITS ETF USD (Acc),IE00BQT3VN15,"7.113.817,64",Ja,Irland,"0,55",-,02.Feb.2015,Aktien,Large Caps,Nordamerika,USD,Industrieländer,-,Vereinigte Staaten von Amerika,- ,"1.000.000,00",Ja,Optimierung,iShares IV plc,thesaurierend,Nasdaq US Buyback Achievers™ Select Index,"7,11",17.Nov.2020,"1.522,22",Ja,Nein/Ja,7.00,-,17.Nov.2020,-,17.Nov.2020,"7,11",Y,Index Fonds,30.Sep.2020,"12,92","18,48","9,80","-3,76","-12,42",31.Oct.2020,"-11,58","-2,87","-1,27","3,52",-,"2,88",31.Oct.2020,"-16,53","15,77","-3,76","18,91",-,"17,74",-,"0,00","0,01","0,00","0,00",-,-,"19,34","15,53","-14,98","27,30",31.Dec.2019,iShares US Equity Buyback Achievers UCITS ETF USD (Acc),"10,74","1,22","0,02","0,00","0,00","13.426,91",BBB,"4,42","220,13",-
IS06,iShares € Corp Bond BBB-BB UCITS ETF EUR (Dist),IE00BSKRK281,"877.902.277,48",Ja,Irland,"0,25",-,03.Feb.2015,Anleihen,Hochzinsanleihen,Europa,EUR,Industrieländer,-,Weitere,- ,"166.302.765,00",Ja,Sampling,iShares III plc,ausschüttend,Markit iBoxx EUR Corporates BBB-BB (5% Issuer Cap),"5,28",17.Nov.2020,"178,77",Ja,Nein/Ja,3.00,-,17.Nov.2020,-,17.Nov.2020,"877,90",Y,Index Fonds,30.Sep.2020,"7,28","2,11","-0,32","6,09","-0,18",31.Oct.2020,"0,70","3,57","1,73","2,74",-,"2,19",31.Oct.2020,"0,67","4,82","5,27","14,46",-,"13,24","1,24","5,16","2,02","4,81","0,81","2,66",-,"5,30","3,39","-2,26","7,38",31.Dec.2019,iShares € Corp Bond BBB-BB UCITS ETF EUR (Dist),"11,15","0,87","0,70","5,16","4,55","0,00",A,"6,26","226,90",-
UKRE,iShares MSCI Target UK Real Estate UCITS ETF GBP (Dist),IE00BRHZ0398,"81.332.680,81",Ja,Irland,"0,40",-,16.Mar.2015,Immobilien,Immobilien-Aktien,Europa,GBP,Industrieländer,"Alternative Investments, Sektoren",Grossbritannien,- ,"17.000.000,00",Ja,Replikation,iShares III plc,ausschüttend,MSCI UK IMI Liquid Real Estate Index,"4,78",17.Nov.2020,"1.217,59",Ja,Nein/Ja,5.00,-,17.Nov.2020,-,17.Nov.2020,"81,33",Y,Index Fonds,30.Sep.2020,"-5,51","2,66","2,42","7,43","-9,56",31.Oct.2020,"-12,80","-1,36","-0,47","-1,44",-,"-0,29",31.Oct.2020,"-16,40","-0,72","-1,42","-6,99",-,"-1,61","1,38","1,49","0,39","1,46","0,03",-,-,"-3,34","7,87","-8,05","21,96",31.Dec.2019,iShares MSCI Target UK Real Estate UCITS ETF GBP (Dist),"10,24","0,71","-0,86","1,49","1,46","4.037,21",A,"5,97","41,88",-
36BZ,iShares MSCI China A UCITS ETF USD (Acc),IE00BQT3WG13,"1.750.799.087,44",Ja,Irland,"0,40",-,08.Apr.2015,Aktien,Large/Mid Caps,Asien-Pazifik,USD,Schwellenländer,-,China,- ,"301.750.000,00",Ja,Optimierung,iShares IV plc,thesaurierend,MSCI China A Inclusion Index,"5,80",17.Nov.2020,"1.370,34",Ja,Nein/Ja,6.00,-,17.Nov.2020,-,17.Nov.2020,"1.750,80",Y,Index Fonds,30.Sep.2020,"-3,17","18,19","-12,16","8,75","33,23",31.Oct.2020,"33,20","28,63","8,20","5,99",-,"1,13",31.Oct.2020,"24,70","28,66","26,69","33,78",-,"6,47",-,"0,00","0,00","0,00","0,00",-,-,"-17,88","27,82","-26,06","35,40",31.Dec.2019,iShares MSCI China A UCITS ETF USD (Acc),"19,51","2,41","-0,06","0,00","0,00","59.272,83",B,"1,54","260,76",-
EMBC,iShares J.P. Morgan $ EM Bond CHF Hedged UCITS ETF (Dist),IE00B9M04V95,"119.273.444,65",Ja,Irland,"0,50",-,14.Apr.2015,Anleihen,Staatsanleihen,Global,CHF,Schwellenländer,Währungsgesichert,Weitere,- ,"27.342.182,00",Ja,Sampling,iShares VI plc,ausschüttend,J.P. Morgan EMBI Global Core Index,"4,36",17.Nov.2020,"398,98",Ja,Nein/Ja,4.00,-,17.Nov.2020,-,17.Nov.2020,"119,27",Y,Index Fonds,30.Sep.2020,"13,90","1,31","-5,84","7,39","-1,24",31.Oct.2020,"-1,38","4,42","-0,11","2,29",-,"1,57",31.Oct.2020,"-2,42","11,68","-0,33","11,99",-,"8,99","4,01","13,68","4,92","8,62","4,12","5,75",-,"6,99","7,31","-8,75","11,61",31.Dec.2019,iShares J.P. Morgan $ EM Bond CHF Hedged UCITS ETF (Dist),"12,13","0,82","4,11","13,68","5,31","0,00",BB,"3,17","1.182,00",-
EMUC,iShares MSCI EMU CHF Hedged UCITS ETF (Acc),IE00BWK1SP74,"58.609.481,02",Ja,Irland,"0,38",-,29.May.2015,Aktien,Large/Mid Caps,Europa,CHF,Industrieländer,Währungsgesichert,Weitere,- ,"10.500.000,00",Ja,Replikation,iShares VII plc,thesaurierend,MSCI EMU Index,"5,58",17.Nov.2020,"1.521,54",Ja,Nein/Ja,6.00,-,17.Nov.2020,-,17.Nov.2020,"58,61",Y,Index Fonds,30.Sep.2020,"2,35","21,87","-0,73","4,08","-7,75",31.Oct.2020,"-13,93","-1,49","-4,21","0,48",-,"-0,37",31.Oct.2020,"-16,99","3,96","-12,12","2,44",-,"-2,01",-,"0,00","0,00","0,00","-0,01",-,-,"3,93","12,37","-12,97","25,43",31.Dec.2019,iShares MSCI EMU CHF Hedged UCITS ETF (Acc),"16,58","1,63","-0,01","0,00","0,00","63.656,04",AA,"7,59","173,97",-
CEBP,iShares MSCI EMU USD Hedged UCITS ETF (Acc),IE00BWZN1T31,"165.684.636,11",Ja,Irland,"0,38",-,30.Jun.2015,Aktien,Large/Mid Caps,Europa,USD,Industrieländer,Währungsgesichert,Weitere,- ,"25.000.000,00",Ja,Replikation,iShares VII plc,thesaurierend,MSCI EMU 100% USD Hedged Index,"6,63",17.Nov.2020,"460,61",Ja,Nein/Ja,6.00,-,17.Nov.2020,-,17.Nov.2020,"165,68",Y,Index Fonds,30.Sep.2020,"3,80","24,60","2,15","7,76","-5,83",31.Oct.2020,"-12,34","1,04","-1,50","2,93",-,"2,76",31.Oct.2020,"-15,89","4,56","-4,44","15,52",-,"15,63",-,"0,00","0,00","0,00","0,00",-,-,"5,88","14,86","-9,95","29,47",31.Dec.2019,iShares MSCI EMU USD Hedged UCITS ETF (Acc),"16,69","1,64","-0,03","0,00","0,00","69.927,31",AA,"7,59","173,33",-
IBCZ,iShares Edge MSCI World Multifactor UCITS ETF USD (Acc),IE00BZ0PKT83,"421.093.713,26",Ja,Irland,"0,50",-,04.Sep.2015,Aktien,Large/Mid Caps,Global,USD,Industrieländer,Faktor ETFs,Weitere,- ,"53.864.609,00",Ja,Optimierung,iShares IV plc,thesaurierend,MSCI World Diversified Multiple-Factor Index,"7,82",17.Nov.2020,"1.560,78",Ja,Nein/Ja,6.00,-,17.Nov.2020,-,17.Nov.2020,"430,15",Y,Index Fonds,30.Sep.2020,"9,38","19,93","10,47","-3,86","5,12",31.Oct.2020,"0,51","3,81","1,92","6,03",-,"7,07",31.Oct.2020,"-4,82","11,93","5,87","34,00",-,"42,23",-,"0,00","0,01","0,00","0,00",-,-,"4,97","26,18","-11,76","21,64",31.Dec.2019,iShares Edge MSCI World Multifactor UCITS ETF USD (Acc),"17,43","2,44","0,01","0,00","0,00","116.283,70",A,"6,81","158,27",-
IBC0,iShares Edge MSCI Europe Multifactor UCITS ETF EUR (Acc),IE00BZ0PKV06,"148.167.125,34",Ja,Irland,"0,45",-,04.Sep.2015,Aktien,Large/Mid Caps,Europa,EUR,Industrieländer,Faktor ETFs,Weitere,- ,"23.558.829,00",Ja,Optimierung,iShares IV plc,thesaurierend,MSCI Europe Diversified Multiple-Factor Index,"6,29",17.Nov.2020,"1.440,78",Ja,Nein/Ja,6.00,-,17.Nov.2020,-,17.Nov.2020,"149,02",Y,Index Fonds,30.Sep.2020,"2,93","17,33","4,19","1,31","-3,20",31.Oct.2020,"-8,47","0,35","-1,53","2,03",-,"3,02",31.Oct.2020,"-12,86","5,25","-4,51","10,59",-,"16,56",-,"0,00","-0,01","0,00","-0,01",-,-,"0,44","12,24","-10,83","24,70",31.Dec.2019,iShares Edge MSCI Europe Multifactor UCITS ETF EUR (Acc),"12,69","1,83","-0,01","0,00","0,00","37.160,25",AA,"7,90","309,37",-
IBCY,iShares Edge MSCI USA Multifactor UCITS ETF,IE00BZ0PKS76,"99.393.305,18",Ja,Irland,"0,35",-,04.Sep.2015,Aktien,Large/Mid Caps,Nordamerika,USD,Industrieländer,Faktor ETFs,Vereinigte Staaten von Amerika,- ,"11.916.037,00",Ja,Optimierung,iShares IV plc,thesaurierend,MSCI USA Diversified Multiple-Factor Index,"8,34",17.Nov.2020,"1.645,37",Ja,Nein/Ja,6.00,-,17.Nov.2020,-,17.Nov.2020,"101,90",Y,Index Fonds,30.Sep.2020,"10,44","20,38","13,64","-2,31","5,54",31.Oct.2020,"1,67","4,99","4,05","7,75",-,"8,72",31.Oct.2020,"-3,69","11,88","12,66","45,21",-,"53,86",-,"0,00","0,03","0,00","0,00",-,-,"12,87","20,79","-10,18","25,71",31.Dec.2019,iShares Edge MSCI USA Multifactor UCITS ETF,"18,71","3,21","0,02","0,00","0,00","196.718,82",A,"6,64","175,34",-
IUSS,iShares MSCI Saudi Arabia Capped UCITS ETF USD (Acc),IE00BYYR0489,"215.184.988,56",Ja,Irland,"0,60",-,10.Apr.2019,Aktien,Large/Mid Caps,Global,USD,Frontier-Märkte,-,Weitere,- ,"48.553.519,00",Ja,Replikation,iShares III plc,thesaurierend,MSCI Saudi Arabia 20/35 Index,"4,43",17.Nov.2020,-,Ja,Nein/Suche,6.00,-,17.Nov.2020,-,17.Nov.2020,"219,31",Y,Index Fonds,30.Sep.2020,-,-,-,-,"-3,49",31.Oct.2020,"-1,64",-,-,-,-,"-12,37",31.Oct.2020,"-8,43","8,94",-,-,-,"-18,53",-,"0,00","0,06","0,00","0,00",-,-,-,-,-,-,-,iShares MSCI Saudi Arabia Capped UCITS ETF USD (Acc),"18,99","2,02","-0,01","0,00","0,00","238.430,15",B,"2,38","571,35",-
QDVF,iShares S&P 500 Energy Sector UCITS ETF USD (Acc),IE00B42NKQ00,"195.080.552,04",Ja,Irland,"0,15",-,20.Nov.2015,Aktien,Large Caps,Nordamerika,USD,Industrieländer,Sektoren,Vereinigte Staaten von Amerika,- ,"61.750.000,00",Ja,Replikation,iShares V plc,thesaurierend,S&P 500 Capped 35/20 Energy Index,"3,16",17.Nov.2020,"193,56",Ja,Nein/Ja,7.00,-,17.Nov.2020,-,17.Nov.2020,"195,08",Y,Index Fonds,30.Sep.2020,-,"-0,47","13,31","-19,70","-45,67",31.Oct.2020,"-46,90","-31,48","-21,96",-,-,"-12,94",31.Oct.2020,"-50,78","-23,08","-52,48",-,-,"-49,62",-,"0,00","0,03","0,00","0,00",-,-,"26,59","-1,61","-18,54","11,19",31.Dec.2019,iShares S&P 500 Energy Sector UCITS ETF USD (Acc),"13,50","0,97","-0,01","0,00","0,00","84.981,10",BBB,"4,94","461,54",-
QDVG,iShares S&P 500 Health Care Sector UCITS ETF USD (Acc),IE00B43HR379,"1.495.304.792,86",Ja,Irland,"0,15",-,20.Nov.2015,Aktien,Large Caps,Nordamerika,USD,Industrieländer,Sektoren,Vereinigte Staaten von Amerika,- ,"180.019.618,00",Ja,Replikation,iShares V plc,thesaurierend,S&P 500 Capped 35/20 Health Care Index,"8,31",17.Nov.2020,"518,97",Ja,Nein/Ja,6.00,-,17.Nov.2020,-,17.Nov.2020,"1.594,34",Y,Index Fonds,30.Sep.2020,-,"15,02","17,87","-3,93","19,61",31.Oct.2020,"9,60","8,91","9,55",-,-,"9,20",31.Oct.2020,"0,80","2,61","31,46",-,-,"54,57",-,"0,00","0,00","0,00","0,00",-,-,"-3,07","21,58","6,05","20,35",31.Dec.2019,iShares S&P 500 Health Care Sector UCITS ETF USD (Acc),"25,85","4,79","0,01","0,00","0,00","155.622,70",A,"6,67","18,20",-
QDVE,iShares S&P 500 Information Technology Sector UCITS ETF USD (Acc),IE00B3WJKG14,"2.126.659.309,07",Ja,Irland,"0,15",-,20.Nov.2015,Aktien,Large Caps,Nordamerika,USD,Industrieländer,Sektoren,Vereinigte Staaten von Amerika,- ,"139.500.000,00",Ja,Replikation,iShares V plc,thesaurierend,S&P 500 Capped 35/20 Information Technology Index,"15,24",17.Nov.2020,"322,16",Ja,Nein/Ja,6.00,-,17.Nov.2020,-,17.Nov.2020,"2.126,66",Y,Index Fonds,30.Sep.2020,-,"28,37","31,05","8,19","45,81",31.Oct.2020,"33,16","27,52","22,10",-,-,"22,81",31.Oct.2020,"21,01","20,94","82,03",-,-,"176,32",-,"0,00","0,02","0,00","0,00",-,-,"13,37","38,31","-0,64","49,74",31.Dec.2019,iShares S&P 500 Information Technology Sector UCITS ETF USD (Acc),"35,00","9,58","0,01","0,00","0,00","886.298,87",AA,"7,64","18,45",-
QDVH,iShares S&P 500 Financials Sector UCITS ETF USD (Acc),IE00B4JNQZ49,"565.439.452,81",Ja,Irland,"0,15",-,20.Nov.2015,Aktien,Large Caps,Nordamerika,USD,Industrieländer,Sektoren,Vereinigte Staaten von Amerika,- ,"75.250.000,00",Ja,Replikation,iShares V plc,thesaurierend,S&P 500 Capped 35/20 Financials Index,"7,51",17.Nov.2020,"202,92",Ja,Nein/Ja,6.00,-,17.Nov.2020,-,17.Nov.2020,"565,44",Y,Index Fonds,30.Sep.2020,-,"35,62","8,27","3,42","-12,32",31.Oct.2020,"-15,09","-2,84","-1,84",-,-,"5,42",31.Oct.2020,"-21,21","5,79","-5,41",-,-,"29,84",-,"0,00","0,03","0,00","0,00",-,-,"22,16","21,67","-13,40","31,47",31.Dec.2019,iShares S&P 500 Financials Sector UCITS ETF USD (Acc),"10,76","1,38","0,01","0,00","0,00","176.937,42",BBB,"5,05","43,57",-
